City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
256,Labuhan,ID,-6.8844,112.2051,79.03,80,99,7.27,overcast clouds
257,Tecolutla,MX,20.4833,-97.0167,83.39,82,100,14.88,overcast clouds
258,Valer,NO,60.6785,11.8331,57.7,99,100,3.56,light rain
259,Mecca,SA,21.4267,39.8261,87.22,28,80,5.66,broken clouds
260,Manokwari,ID,-0.8667,134.0833,83.12,67,55,6.26,broken clouds
261,Tromso,NO,69.6496,18.957,54.25,87,75,2.3,broken clouds
262,Tura,IN,25.5198,90.2201,76.39,94,43,6.24,scattered clouds
263,Pokrovsk,UA,48.282,37.1758,63.52,60,37,10.18,scattered clouds
264,Dharmadam,IN,11.7833,75.4333,76.93,90,100,5.64,overcast clouds
265,Cockburn Town,TC,21.4612,-71.1419,81.18,85,99,20.96,overcast clouds
266,Iqaluit,CA,63.7506,-68.5145,34.7,80,100,25.99,overcast clouds
267,Padang,ID,-0.9492,100.3543,73.45,80,94,3.51,overcast clouds
268,Maragogi,BR,-9.0122,-35.2225,75.54,80,9,5.32,clear sky
269,Ulaangom,MN,49.9811,92.0667,61.84,40,35,4.76,scattered clouds
270,Asau,RO,46.4333,26.4,64.4,100,48,2.66,scattered clouds
271,Terenos,BR,-20.4422,-54.8603,73.11,78,75,2.3,broken clouds
272,Neiafu,TO,-18.65,-173.9833,83.08,65,20,0.0,few clouds
273,Pamekasan,ID,-7.1568,113.4746,81.55,75,100,5.79,overcast clouds
274,Bloemfontein,ZA,-29.1211,26.214,41.65,62,0,5.14,clear sky
275,Nicolae Balcescu,RO,46.4667,26.9167,67.32,97,0,3.44,clear sky
276,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,64.99,42,75,4.47,broken clouds
277,Zhezkazgan,KZ,47.8043,67.7144,57.65,55,36,6.67,scattered clouds
278,Copala,MX,16.65,-98.9833,81.18,82,100,2.84,overcast clouds
279,San Policarpo,PH,12.1791,125.5072,83.46,70,100,5.91,overcast clouds
280,Villamontes,BO,-21.25,-63.5,52.16,86,12,1.83,few clouds
281,Trat,TH,12.5,102.5,82.56,81,11,4.94,few clouds
282,Ishigaki,JP,24.3448,124.1572,79.27,87,100,4.76,overcast clouds
283,Kloulklubed,PW,7.0419,134.2556,81.1,70,100,4.56,overcast clouds
284,Quepos,CR,9.4236,-84.1652,79.9,94,100,1.3,overcast clouds
285,Salalah,OM,17.0151,54.0924,79.68,88,99,9.8,overcast clouds
286,Constitucion,CL,-35.3333,-72.4167,54.23,71,100,5.48,overcast clouds
287,Pangnirtung,CA,66.1451,-65.7125,50.16,53,6,4.74,clear sky
288,Tucuma,BR,-0.1833,-50.05,74.7,92,12,5.61,few clouds
289,Quelimane,MZ,-17.8786,36.8883,63.72,97,20,3.51,few clouds
290,Margate,GB,51.3813,1.3862,55.96,89,100,8.01,light rain
